Book_No	Title	Sub_Title	Author	Publisher	Year_This_Ed	ISBN	Subject	Topic	Class_1	Class_2	Class_3	new c1	new c2	newc3	Translator	Year_1st_Pub	Synopsis	Medium
11556	Tahafut Al-Falasifah	Incoherence of the Philosophers	"Al-Ghazali, Imam "	Pakistan Philosophical Congress - Lahore	1963		Religion	Other Religions - Islam & Bahaism	297	AL-		297	ALG					
	"Duties of Brotherhood in Islam, The"	translated by muhtar Holland	"Al-Ghazali, Imam "	The Islamic Foundation	1980	0 86037 068 2						297	ALG					
11559	"Mysteries of Fasting, The"		"Al-Ghazali, Imam "	Sh. Muhammad Ashraf - Lahore	1983		Religion	Other Religions - Islam & Bahaism	297	AL-		297	ALG					
14626	Somebody In Boots		"Algren, Nelson"	Flamingo	1993	0-586-09207-2			813	ALG		813	ALG					
11565	"Kashf Al-Mahjub, The"	The Oldest Persian Treatise on Sufiism	"Al-Hujwiri, Ali B Uthman Al-Jullabi"	Luzac & Co. - London	1911		Religion	Other Religions - Islam & Bahaism	297	AL-		297	ALH					
15711	Some Moral and Religious Teachings of Al-Ghazzali		"Nawab, Syed"	Sh. Muhammad Ashraf	1944				297	GHA		297	NAW					
12744	"Late Richard Dadd, The"	1817-1886	"Allderidge, Patricia"	The Tate Gallery	1974	0 900874 78 3	The Arts	Galeeries - Museums - Private Collections	708	ALL		759	ALL					
13683	David Jones	Writer and Artist	"Alldritt, Keith"	Constable & Robinson	2003	1-84119-379-8			920	JON		921	JON	ALL				
11184	"Dead Sea Scrolls, The"		"Allegro, John M"	Penguin Books	1956		Religion	Religion - History	209	ALL		296	ALL					
12991	Lost Gods		"Allegro, John M"	Sphere Books Ltd	1977	0 7221 0492 8			201	ALL		201	ALL					
11163	"Sacred Mushroom and the Cross, The"	A Study of the Nature and Origins of Christianity within the Fertility Cults of the Ancient Near East	"Allegro, John M"	Hodder and Stoughton	1970	340 12875 5	Religion	Religion - History	209	ALL		200	ALL					
14429	Freedom In God	A guide to the thought of Nicholas Berdyaev	"Allen, E L"	Hodder & Stoughton					201	BER		200	ALL					
16517	Icastes : Marsilio Ficino's Interpretation of Plato's 'Sophist'		"Allen, Michael J B"	University of California Press	1989	0-520-06419-4			186	ALL		184	ALL					
16533	"Platonism of Marsilio Ficino, The"	A Study of His Phaedrus Commentary - Its Sources and Genesis	"Allen, Michael J B"	University of California	1984	0-520-05152-1			186	ALL		184	ALL					
16570	"Oxford Writers' Dictionary, The"		"Allen, R F"	Oxford University Press	1990	0-19-282669-7			423	OXF		803	ALL					
13014	Gardens		"Allen of Hurtwood (Lady) & Jellicoe, Susan"	Penguin	1953		The Arts	Civic & Landscape Art  - Landscape Architecture	712	LAD		712	ALL					
11429	As a Man Thinketh		"Allen, James"	The Peter Pauper Press - New York			Philosophy		130	ALL		291.4	ALL					
11124	From Poverty To Power	The Realisation of Prosperity and Peace	"Allen, James"	L. N. Fowler & Co. - London	1918		Philosophy	Branches of Psychology - Occult Sciences	133	ALL		150	ALL		******			
10980	Vladimir Soloviev: Russian Mystic		"Allen, Paul M"	Steinerbooks - New York	1978	0-8334-1750-9	Biography	Vladimir Soloviev	SOL	ALL		921	SOL	ALL				
15492	"House of Nomura, The"	The Rise to Supremacy of the World's most Powerful Company: the Inide Story of the Legendary Japanese Dynasty	"Alletzhauser, Al"	Bloomsbury	1990				330	ALL		338	ALL		******			
13152	Prose of The Romantic Period 1780 -1830	The Pelican Book of English Prose Volume 4	"Allott, Kenneth (Ed)"	Penguin	1956		Literature	Literary History & Criticism	809	ALL		820.8	ALL					
14040	Modern Scandinavian Poetry 1900 - 1975	The Panorama of Poetry in Greenland - Iceland - The Faroe Islands - Demark - Saame Poetry - Norway - Sweden and Finland	"Allwood, Martin (Ed)"	Anglo-American Center	1982	91-85-41232-5			839	ALL		839	ALL					
11863	Meditations and Eastern Wisdom: Whither Goest?		"Alvery, Robert"	Regency Press - London	1971		Religion	Other Religions - Other Religions	299	ALV		290	ALV					
15822	"Brancacci Chapel and the Art of Masaccio, The"		"Amaducci, Alberto B"	Saverio Becocci	1978				750	MAS		759.5	AMA					
15072	Philosophical Implications Of Dhivani	Experience of Symbol Language in Indian Aesthetics	"Amaladas, Anand S J"	Gerold & Co	1984	3-90027113-5			149	AMA		149	AMA		********			
10219	Ten Contemporary Thinkers		"Amend, V E & Hendrick L T (Ed)"	The Free Press of Glencoe - New York	1964		Philosophy	Modern Philosophy	190	AME		190	AME					
16029	Italian Drawings	from the 15th to the 19th century	"Ames, Winslow"	Little - Brown and Co	1963	0-316-03688-9			740	AME		741	AME					
12769	Italian Drawings	From the 15th to the 19th Century	"Ames, Winslow"	Little - Brown Co Ltd	1976	0 316 03688 9	The Arts	Drawing & Decorative Arts - Drawing	741	AME		741	AME					
14912	Rudyard Kipling		"Amis, Kingsley"	Thames and Hudson	1975				920	KIP		921	KIP	AMI				
16087	"War Against Cliche?, The"	Essays and Reviews 1971 - 2000	"Amis, Martin"	Jonathan Cape	2001	0-224-05059-1			824	AMI		824	AMI					
12378	William Holman Hunt	The True Pre-Raphaelite	"Amor, Anne Clark"	Constable	1989	0 09 468770 6	Biography	William Holman Hunt	HUN	Amo		921	HUN	AMO				
14638	Forty-Two Stories		"Andersen, Hans"	Faber & Faber	1968	0-571-08620-9			839	AND		839.8	AND					
16163	Hans Andersen's Fairy Tales	with illustrations by W. Heath Robinson	"Andersen, Hans"	The Folio Society	1995				839	AND		839.8	AND					
10689	Passages	A Guide for Pilgrims of the Mind	"Andersen, Marianne S & Savary, Louis M"	Turnstone - London	1974	85500 034 1	Philosophy	Branches of Psychology - Occult Sciences	133	AND		154	AND					
13676	Faking It	The Sentimentalisation of Modern Society	"Anderson, Digby & Mullen, Peter (Ed)"	The Social Affairs Unit	1998	0 907631 75 4			304	AND		301	AND					
11671	"Saint at Stake, A"	The Strange Death of William of Norwich - 1144	"Anderson, M D"	Faber and Faber - London	1964		Religion	Christian Church History	217	AND		270	AND					
15160	Simone Weil		"Anderson, David"	SCM Press Ltd	1971				920	WEI		921	WEI	AND				
11713	"Ascendancy of Europe, The"	Aspects of European History 1815-1914	"Anderson, M S"	Longmans - London	1976	0 582 48348 4	History	Europe	940	AND		940.2	AND					
