Book_No,Title,Sub_Title,Author,Publisher,Year_This_Ed,ISBN,Subject,Topic,Class_1,Class_2,Class_3,Translator,Year_1st_Pub,Synopsis,Medium
15169,LITERARY ANGELS,,Chessman - Harriet Scott,Ballantine,1994,0-449-90774-0,,,804,CHE,,,,,
16386,LETTERS BY LORD CHESTERFIELD TO HIS SON,,Chesterfield - Lord,J. M. Dent & Sons,1929,,,,826,CHE,,,,,
15192,THE FLYING INN,,Chesteron - G. K.,,,,,,823,CHE,,,,,
11342,NEW JERUSALEM ~ THE,,CHESTERTON - G. K.,Thomas Nelson and Sons Ltd. - London,,,Literature,English Literature - English Essays,824,CHE,,,,,
11874,SHORT HISTORY OF ENGLAND ~ A,,CHESTERTON - G. K.,Chatto & Windus - London,1924,,History,Europe - England,942,CHE,,,,,
11982,SHORT HISTORY OF ENGLAND ~ A,,CHESTERTON - G. K.,Chatto & Windus - London,1924,,History,Europe - England,942,CHE,,,,,
11676,ST. FRANCIS OF ASSISI,,CHESTERTON - G. K.,Hodder and Stoughton - London,1939,,Biography,St. Francis of Assisi,FRA,CHE,,,,,
11712,ST. FRANCIS OF ASSISI,,CHESTERTON - G. K.,Hodder & Stoughton - London,1923,,Biography,St. Francis of Assisi,FRA,CHE,,,,,
15284,AS I WAS SAYING,,Chesterton - G. K.,Methuen and Co,1936,,,,824,CHE,,,,,
13474,ESSAYS,,Chesterton - G. K.,Collins,1939,,,,824,CHE,,,,,
15605,HERETICS,,Chesterton - G. K.,John Lane - The Bodley Head,1909,,,,824,CHE,,,,,
15254,ORTHODOXY,,Chesterton - G. K.,John Lane - the bodley Head,1909,,,,824,CHE,,,,,
15219,SELECTED ESSAYS,,Chesterton - G. K.,Methuen & Co Ltd,1949,,,,824,CHE,,,,,
15212,ST THOMAS AQUINAS,,Chesterton - G. K.,Hodder & Stoughton,1933,,,,230,AQU,,,,,
15224,STORIES - ESSAYS - & POEMS,,Chesterton - G. K.,J. M. Dent & Sons,1935,,,,828,CHE,,,,,
13810,THE COLLEGTED POEMS OF G. K. CHESTERTON,,Chesterton - G. K.,Methuen and Co,1935,,,,821,CHE,,,,,
14861,THE EVERLASTING MAN,,Chesterton - G. K.,Hodder & Stoughton,1926,,,,232,CHE,,,,,
13601,HERETICS,,Chesterton - G.K.,The Bodley Head,1928,,,,824,CHE,,,,,
15698,PITTI PALACE,Art and History,Chiarini - Marco,Becocci Editore,1973,,,,708,CHI,,,,,
12896,VERONA,An Illustrated Guide-Book With Plan of the Monuments,CHIERICHETTI - SANDRO,Moneta Editore,,,Geography & History,Geography & Travel - Europe,914,CHI,,,,,
13542,RAVENNA,An Illustrated Guide-Book with a plan of the monuments,Chierichetti - Sandro,Moneta,,,,,914,RAV,,,,,
13543,PDUA,An Artistic and Illustrated Guide Book with plans of the monuments,Chierichietti - sandrao,Moneta,,,,,914,PAD,,,,,
12996,MAN MAKES HIMSELF,,CHILDE - E. GORDON,Collins,1966,,Social Sciences,Sociology & Anthropology,301,CHI,,,,,
13016,WHAT HAPPENED IN HISTORY,,CHILDE - GORDON,Penguin,1946,,Geography & History,History of Ancient World,930,CHI,,,,,
16403,AFRICAN WOMEN'S POETRY,,Chipasula - Stella & Frank,Heinemann Educaitonal Pubishers,1995,978-0-43596-80-1,,,896,CHI,,,,,
15802,LAND OF WONDER,an illustrated anthology of the best Australian nature writing,Chisholm - Alec H.,Angus & Robertson,1979,,,,994,CHI,,,,,
11513,SUFI PATH OF KNOWLEDGE ~ THE,Ibn al-Arabi's Metaphysics of Imagination,CHITTICK - WILLIAM C.,State University of New York Press,1989,0-88706-885-5,Religion,Other Religions - Islam & Bahaism,297,CHI,,,,,
11504,SHI'ITE ANTHOLOGY ~ A,,CHITTICK - WILLIAM C. (ED),Muhammadi Trust - London,1980,0 9506986 0 1,Religion,Other Religions - Islam & Bahaism,297,CHI,,,,,
11292,LIFE OF CONFUCIUS ~ A,,CHI-YUN - CHANG,China News Press - Taiwan,1956,,Philosophy,Ancient & Medieval - Oriental Philosophy,181,CHI,,,,,
12376,Memoirs of a Korean Queen,By Lady Hong,Choe-Wall - Yang-Hi (Trans. and Ed.),KPI,1985,0 7103 0052 2,Biography,Lady Hong,HON,Cho,,,,,
16138,MUSEO DEL PATRIARCA VALENCIA,,Choliz - Gonzalo de Diego,Ediciones Ludion y Marot,2000,84-87007-44-9,,,708,VAL,,,,,
16352,SPARKS FLY UPWARD,Three Essays on Aesthetics,Choudhuri - Indra Nath,Temenos Academy,1999,0-9528910-6-9,,,149,CHO,,,,,
15739,THE LAST ROMANTICS,The Romantic Tradition in British Art:  Burne-Jones to Stanley Spencer,Christian - John (ed.),Lund Humphries,1989,0-85331-552-3,,,709,CHR,,,,,
11865,CAT AMONG THE PIGEONS,,CHRISTIE - AGATHA,Collins - London,1981,0 00 616174 X,Literature,English Literature - English Fiction,823,CHR,,,,,
12970,AROUND THE WORLD ON $80,,CHRISTOPHER - ROBERT,George G. Harrap & Co. Ltd.,1956,,Geography & History,Geography and Travel,910,CHR,,,,,
12438,LIfe of Giovanni Boccaccio ~The,,Chubb - Thomas Caldecot,Cassell & Co. Ltd.,1930,,Biography,Giovanni Boccaccio,BOC,Chu,,,,,
